"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1096","test_hotel_list","test","Mon Mar 16 21:07:35 UTC 2026","passed","Mon Mar 16 21:07:36 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1631","Hootel Login","test","Mon Mar 16 21:07:29 UTC 2026","passed","Mon Mar 16 21:07:31 UTC 2026","TestHootel","test_hootel","",""
